,Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
140,31,"Apr 7, 1991",1979,6-9,Magic Johnson,PG,1990-1991,1991,11,Los Angeles Lakers,255,1.0
141,28,"Mar 31, 1991",1983,6-7,Clyde Drexler,SG,1990-1991,1991,7,Portland Trail Blazers,210,1.0
142,25,"Mar 24, 1991",1988,6-5,Mitch Richmond,SG,1990-1991,1991,2,Golden State Warriors,215,1.0
143,25,"Mar 17, 1991",1987,6-3,Kenny Smith,PG,1990-1991,1991,3,Houston Rockets,170,1.0
144,22,"Mar 10, 1991",1990,6-8,Dennis Scott,SF,1990-1991,1991,0,Orlando Magic,229,1.0
145,27,"Mar 3, 1991",1985,6-6,Gerald Wilkins,SG,1990-1991,1991,5,New York Knicks,185,1.0
146,25,"Feb 24, 1991",1987,6-7,Reggie Miller,SG,1990-1991,1991,3,Indiana Pacers,185,1.0
147,22,"Feb 17, 1991",1990,6-7,Lionel Simmons,SF,1990-1991,1991,0,Sacramento Kings,210,1.0
148,28,"Feb 3, 1991",1984,6-9,Otis Thorpe,PF,1990-1991,1991,6,Houston Rockets,225,1.0
149,28,"Jan 27, 1991",1985,5-10,Michael Adams,PG,1990-1991,1991,5,Denver Nuggets,163,1.0
150,24,"Jan 20, 1991",1989,6-0,Tim Hardaway,PG,1990-1991,1991,1,Golden State Warriors,175,1.0
151,34,"Jan 13, 1991",1977,6-7,Bernard King,SF,1990-1991,1991,13,Washington Bullets,205,1.0
152,31,"Jan 6, 1991",1982,6-7,Dominique Wilkins,SF,1990-1991,1991,8,Atlanta Hawks,200,1.0
153,31,"Dec 30, 1990",1982,6-4,Ricky Pierce,SG,1990-1991,1991,8,Milwaukee Bucks,205,1.0
154,28,"Dec 23, 1990",1984,6-6,Michael Jordan,SG,1990-1991,1991,6,Chicago Bulls,215,1.0
155,24,"Dec 16, 1990",1987,6-1,Kevin Johnson,PG,1990-1991,1991,3,Phoenix Suns,180,1.0
156,28,"Dec 9, 1990",1984,6-1,John Stockton,PG,1990-1991,1991,6,Utah Jazz,170,1.0
157,28,"Dec 2, 1990",1984,6-6,Michael Jordan,SG,1990-1991,1991,6,Chicago Bulls,215,1.0
158,28,"Nov 25, 1990",1984,6-6,Charles Barkley,PF,1990-1991,1991,6,Philadelphia Sixers,252,1.0
159,28,"Nov 18, 1990",1983,6-7,Clyde Drexler,SG,1990-1991,1991,7,Portland Trail Blazers,210,1.0
160,27,"Nov 11, 1990",1985,6-7,Chris Mullin,SF,1990-1991,1991,5,Golden State Warriors,215,1.0
161,28,"Apr 19, 1992",1985,6-9,Karl Malone,PF,1991-1992,1992,6,Utah Jazz,265,1.0
162,26,"Apr 12, 1992",1987,6-7,Reggie Lewis,SF,1991-1992,1992,4,Boston Celtics,195,1.0
163,24,"Apr 5, 1992",1989,6-1,Mookie Blaylock,PG,1991-1992,1992,2,New Jersey Nets,190,1.0
164,26,"Mar 29, 1992",1987,6-1,Mark Jackson,PG,1991-1992,1992,4,New York Knicks,180,1.0
165,22,"Mar 22, 1992",1991,6-6,Larry Johnson,F,1991-1992,1992,0,Charlotte Hornets,250,1.0
166,28,"Mar 15, 1992",1985,6-3,Joe Dumars,SG,1991-1992,1992,6,Detroit Pistons,190,1.0
167,28,"Mar 8, 1992",1985,6-9,Karl Malone,PF,1991-1992,1992,6,Utah Jazz,265,1.0
168,25,"Mar 1, 1992",1988,6-10,Danny Manning,F,1991-1992,1992,3,Los Angeles Clippers,230,1.0
169,25,"Feb 23, 1992",1989,6-0,Tim Hardaway,PG,1991-1992,1992,2,Golden State Warriors,175,1.0
170,29,"Feb 16, 1992",1984,6-1,John Stockton,PG,1991-1992,1992,7,Utah Jazz,170,1.0
171,33,"Feb 2, 1992",1981,6-10,Larry Nance,PF,1991-1992,1992,10,Cleveland Cavaliers,205,1.0
172,24,"Jan 26, 1992",1989,6-6,Nick Anderson,GF,1991-1992,1992,2,Orlando Magic,228,1.0
173,25,"Jan 19, 1992",1989,6-0,Tim Hardaway,PG,1991-1992,1992,2,Golden State Warriors,175,1.0
174,29,"Jan 12, 1992",1984,6-6,Michael Jordan,SG,1991-1992,1992,7,Chicago Bulls,215,1.0
175,29,"Jan 5, 1992",1985,7-0,Patrick Ewing,C,1991-1992,1992,6,New York Knicks,240,1.0
176,26,"Dec 29, 1991",1987,6-8,Scottie Pippen,SF,1991-1992,1992,4,Chicago Bulls,228,1.0
177,24,"Dec 22, 1991",1989,6-9,Pervis Ellison,C,1991-1992,1992,2,Washington Bullets,210,1.0
178,30,"Dec 15, 1991",1986,6-7,Dennis Rodman,PF,1991-1992,1992,5,Detroit Pistons,210,1.0
179,30,"Dec 8, 1991",1983,6-4,Jeff Malone,SG,1991-1992,1992,8,Utah Jazz,205,1.0
180,26,"Dec 1, 1991",1987,7-1,David Robinson,C,1991-1992,1992,2,San Antonio Spurs,250,1.0
181,29,"Nov 24, 1991",1984,7-0,Kevin Willis,C,1991-1992,1992,7,Atlanta Hawks,245,1.0
182,26,"Nov 17, 1991",1986,7-0,Brad Daugherty,C,1991-1992,1992,5,Cleveland Cavaliers,245,1.0
183,28,"Nov 10, 1991",1985,6-7,Chris Mullin,SF,1991-1992,1992,6,Golden State Warriors,215,1.0
184,23,"Apr 25, 1993",1991,6-6,Larry Johnson,F,1992-1993,1993,1,Charlotte Hornets,250,1.0
185,23,"Apr 18, 1993",1992,6-10,Alonzo Mourning,C,1992-1993,1993,0,Charlotte Hornets,240,1.0
186,30,"Apr 11, 1993",1984,7-0,Hakeem Olajuwon,C,1992-1993,1993,8,Houston Rockets,255,1.0
187,30,"Apr 4, 1993",1984,6-6,Charles Barkley,PF,1992-1993,1993,8,Phoenix Suns,252,1.0
188,26,"Mar 28, 1993",1991,7-2,Dikembe Mutombo,C,1992-1993,1993,1,Denver Nuggets,260,1.0
189,30,"Mar 21, 1993",1985,7-0,Patrick Ewing,C,1992-1993,1993,7,New York Knicks,240,1.0
190,26,"Mar 14, 1993",1990,6-2,Rumeal Robinson,PG,1992-1993,1993,2,New Jersey Nets,195,1.0
191,27,"Mar 7, 1993",1988,6-11,Rony Seikaly,C,1992-1993,1993,4,Miami Heat,230,1.0
192,30,"Feb 28, 1993",1984,7-0,Hakeem Olajuwon,C,1992-1993,1993,8,Houston Rockets,255,1.0
193,23,"Feb 14, 1993",1991,6-6,Larry Johnson,F,1992-1993,1993,1,Charlotte Hornets,250,1.0
194,25,"Feb 7, 1993",1989,6-6,Nick Anderson,GF,1992-1993,1993,3,Orlando Magic,228,1.0
195,29,"Jan 31, 1993",1985,6-9,Karl Malone,PF,1992-1993,1993,7,Utah Jazz,265,1.0
196,30,"Jan 24, 1993",1985,7-0,Patrick Ewing,C,1992-1993,1993,7,New York Knicks,240,1.0
197,30,"Jan 17, 1993",1984,7-0,Hakeem Olajuwon,C,1992-1993,1993,8,Houston Rockets,255,1.0
198,23,"Jan 10, 1993",1989,6-10,Shawn Kemp,C,1992-1993,1993,3,Seattle SuperSonics,280,1.0
199,27,"Jan 3, 1993",1987,7-1,David Robinson,C,1992-1993,1993,3,San Antonio Spurs,250,1.0
200,25,"Dec 27, 1992",1989,6-8,Sean Elliott,SF,1992-1993,1993,3,San Antonio Spurs,205,1.0
201,30,"Dec 20, 1992",1985,7-0,Patrick Ewing,C,1992-1993,1993,7,New York Knicks,240,1.0
202,30,"Dec 13, 1992",1984,6-6,Charles Barkley,PF,1992-1993,1993,8,Phoenix Suns,252,1.0
203,28,"Dec 6, 1992",1986,6-5,Drazen Petrovic,SG,1992-1993,1993,3,New Jersey Nets,200,1.0
204,27,"Nov 29, 1992",1987,7-1,David Robinson,C,1992-1993,1993,3,San Antonio Spurs,250,1.0
205,30,"Nov 22, 1992",1984,6-6,Michael Jordan,SG,1992-1993,1993,8,Chicago Bulls,215,1.0
206,20,"Nov 15, 1992",1992,7-1,Shaquille O'Neal,C,1992-1993,1993,0,Orlando Magic,325,1.0
207,28,"Apr 24, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
208,28,"Apr 17, 1994",1987,6-8,Scottie Pippen,SF,1993-1994,1994,6,Chicago Bulls,228,1.0
209,27,"Apr 10, 1994",1991,7-2,Dikembe Mutombo,C,1993-1994,1994,2,Denver Nuggets,260,1.0
210,24,"Apr 3, 1994",1989,6-10,Shawn Kemp,C,1993-1994,1994,4,Seattle SuperSonics,280,1.0
211,31,"Mar 27, 1994",1984,7-0,Kevin Willis,C,1993-1994,1994,9,Atlanta Hawks,245,1.0
212,31,"Mar 20, 1994",1984,7-0,Hakeem Olajuwon,C,1993-1994,1994,9,Houston Rockets,255,1.0
213,30,"Mar 13, 1994",1985,6-3,Joe Dumars,SG,1993-1994,1994,8,Detroit Pistons,190,1.0
214,28,"Mar 6, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
215,24,"Feb 27, 1994",1989,6-10,Shawn Kemp,C,1993-1994,1994,4,Seattle SuperSonics,280,1.0
216,28,"Feb 20, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
217,28,"Feb 6, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
218,30,"Jan 30, 1994",1986,6-6,Ron Harper,SG,1993-1994,1994,7,Los Angeles Clippers,185,1.0
219,23,"Jan 23, 1994",1991,6-0,Kenny Anderson,PG,1993-1994,1994,2,New Jersey Nets,168,1.0
220,31,"Jan 16, 1994",1985,7-0,Patrick Ewing,C,1993-1994,1994,8,New York Knicks,240,1.0
221,20,"Jan 9, 1994",1993,6-9,Chris Webber,F-C,1993-1994,1994,0,Golden State Warriors,245,1.0
222,23,"Jan 2, 1994",1992,6-9,Oliver Miller,C,1993-1994,1994,1,Phoenix Suns,280,1.0
223,28,"Dec 26, 1993",1987,6-8,Scottie Pippen,SF,1993-1994,1994,6,Chicago Bulls,228,1.0
224,30,"Dec 19, 1993",1985,6-9,Karl Malone,PF,1993-1994,1994,8,Utah Jazz,265,1.0
225,21,"Dec 12, 1993",1992,7-1,Shaquille O'Neal,C,1993-1994,1994,1,Orlando Magic,325,1.0
226,28,"Dec 5, 1993",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,250,1.0
227,26,"Nov 28, 1993",1989,6-8,Glen Rice,SF,1993-1994,1994,4,Miami Heat,228,1.0
228,31,"Nov 21, 1993",1984,6-6,Charles Barkley,PF,1993-1994,1994,9,Phoenix Suns,252,1.0
229,31,"Nov 14, 1993",1984,7-0,Hakeem Olajuwon,C,1993-1994,1994,9,Houston Rockets,255,1.0
230,31,"Apr 23, 1995",1985,6-9,Karl Malone,PF,1994-1995,1995,9,Utah Jazz,265,1.0
231,28,"Apr 16, 1995",1991,7-2,Dikembe Mutombo,C,1994-1995,1995,3,Denver Nuggets,260,1.0
